ABAISSER	Se baisser.
INQUILIN	Relatif à un organisme locataire ou à l'inquilinisme.
INSCRIRE	Mettre une inscription.
INSCRITE	Celle qui est inscrite.
INSECTES	Classe d'animaux invertébrés de l’embranchement des arthropodes et du sous-embranchement des hexapodes. — Peut être écrit avec une majuscule dans ce sens.
INSINUER	Introduire doucement et adroitement quelque chose.
INSIPIDE	Sans saveur, sans goût.
INSISTER	Appuyer sur quelque chose, s’y arrêter avec force.
INSOLENT	Celui qui est insolent.
INSOLITE	Qui surprend parce qu’il sort de l’usage.
INSOMNIE	Nuit d’insomnie.
INSONORE	Qui étouffe le son, insonorisant.
INSOUMIS	Membre ou partisan du parti politique français .
INSPIRER	Être avisé, avoir l'idée.
INSTABLE	Qui se défait aisément.
INSTANCE	Procédure judiciaire.
INSTINCT	Penchant spontané.
INSTITUT	Cet ordre même.
INSTRUIT	Qualifie une personne qui connaît les informations et plus généralement qui a un savoir.
INSULINE	Protéine hormonale (polypeptide) hypoglycémiante produite par le pancréas, et dont le rôle est de permettre la mise en réserve, dans le foie ou les muscles, du sucre présent dans le sang.
INSULTER	Manquer à ce que l’on doit aux personnes ou aux choses.
INSURGER	Exciter, pousser à la révolte, à l'insurrection.
INTENSIF	Qui a la plénitude de l’être.
INTENTER	Diriger contre quelqu’un un procès, une accusation. Il n’est usité que dans ces phrases,
INTERCOM	Interphone.
INTERDIT	Défendu par la loi, ou par la morale.
INTERNAT	Ce lieu d’enseignement lui-même.
INTERNER	Enfermer dans un asile d’aliénés.
INTERNET	Réseau informatique mondial.
INTERROI	Celui qui exerce la fonction de roi pendant un interrègne.
INTESTAT	Qui n’a pas fait de testament.
INTESTIN	Subdivision de ce viscère.
INTIFADA	Révolte contre un régime oppresseur ou un ennemi étranger.
INTRADOS	Partie intérieure et concave d’un arc, d’une voute.
INTRANET	Réseau de télécommunication et de téléinformatique destiné à l’usage exclusif d’un organisme et utilisant les mêmes protocoles et techniques que l’internet.
INTRIGUE	Commerce secret de galanterie.
INTRORSE	Qualifie l'orientation d'une anthère à l'intérieur d'une fleur libérant son pollen vers l'interieur.
INTRUSIF	Qui s’introduit de manière non souhaitée.
INTUITER	Faire appel à l’intuition.
INTUITIF	Qui résulte de l’intuition.
INUKSHUK	Grand amas de pierres, de forme plus ou moins humaine, érigé par les inuits pour se repérer, marquer un endroit particulier ou, lors des chasses aux caribous, se cacher derrière, ou conduire les animaux vers une direction donnée.
INUSABLE	Qui ne s’use pas, ou qui ne s’use que d’une manière imperceptible.
INVAINCU	Qui n’a jamais été vaincu.
INVALIDE	Ancien soldat qui souffre d'invalidité.
INVASION	Début d'une maladie infectieuse.
INVENTER	Imaginer.
INVENTIF	Qui découle de cette capacité.
INVERSER	Renverser, aller dans le sens contraire.
INVERSIF	Qui use de l’inversion.
INVERTIR	Renverser symétriquement ; inverser.
INVESTIR	Utiliser des capitaux dans un but de profit.
INVITANT	Qui invite.
INVITEUR	Celui qui invite, .
INVOQUER	Citer en sa faveur ; en appeler à.
IONIENNE	Habitante de l’.
IONISANT	Qui produit des ions.
IONISEUR	Appareil électroménager destiné à purifier l’air ambiant en générant et libérant des ions négatifs qui se fixent aux particules en suspension et les font retomber au sol.
IRANIENS	Peuple qui vit essentiellement en Iran.
IRAQUIEN	Habitant d’Iraq.
IRIDIENS	Pluriel d’iridien.
IRISABLE	Qui est susceptible de prendre l’irisation.
IRONIQUE	Contraire, opposé.
IRONISER	Prendre le ton de l’ironie.
IRONISTE	Qui est porté à l’ironie.
IROQUOIS	appartenant à la nation iroquoise.
IRRADIER	Rayonner, .
IRRIGANT	Agriculteur qui irrigue ses cultures.
IRRIGUER	Arroser par des irrigations.
IRRITANT	Comportement, aspect qui irrite.
ISLAMITE	Qui professe l’islam.
ISOBATHE	Ligne joignant des points d’égale profondeur sur une carte marine.
ISOCARDE	Coquillage cordiforme.
ISOCHORE	Se dit d'un hexamètre entièrement composé par des spondées.
ISOCLINE	Qui a la même inclinaison.
ISOGAMIE	Mode de reproduction sexué dans lequel les deux gamètes sont identiques, de telle façon qu'on ne puisse distinguer le mâle de la femelle.
ISOGONAL	Qui a des angles égaux.
ISOHYPSE	D’égale altitude.
ISOLABLE	Qui peut être isolé.
ISOLOGUE	Se dit de corps ayant une composition proche et dont les propriétés chimiques sont quasiment identiques.
ISONOMIE	Qualifie l’état des cristaux qui sont construits suivant la même loi.
ISOPHASE	Qui se présente des périodes, des phases de fonctionnement, de répétition de durée égale.
ISOTONIE	Équilibre moléculaire de deux solutions séparées par une membrane perméable et qui ont la même pression osmotique.
ISOTOPIE	Caractéristique d’une fonction isotope.
ISOTROPE	Qui se présente de la même manière, qui offre une similitude.
ITALIENS	Le peuple italien.
ITALIQUE	Qui appartient à l’Italie ancienne.
IVOIRIEN	Habitant de la Côte d’Ivoire.
IVOIRIER	Sculpteur qui travaille l’ivoire.
IVOIRINE	Substance imitant l’.
IXELLOIS	Habitant de Ixelles en Belgique.
JABLEUSE	Machine servant à creuser les jables dans les douves des tonneaux.
JABLOIRE	Instrument pour jabler.
JABOTAGE	Action de jaboter.
JABOTEUR	Merle d’Afrique.
JACASSER	Bavarder d’une manière fatigante.
JACOBIEN	Déterminant d’une matrice jacobienne.
JACOBINE	Habitante de Jacob-Bellecombette, commune française située dans le département de la Savoie.
JACOBINS	Nom de famille.
JACOBITE	Relatif aux jacobites et au jacobitisme.
JACQUARD	Nom de famille.
JACQUIER	Nom de famille.
JACTANCE	Bavardage.
JACTEUSE	Femme qui jacte, bavarde.
JALAPENO	Autre orthographe de jalapeño.
JALONNER	Marquer par des repères.
JALOUSER	Avoir de la jalousie contre quelqu’un.
JALOUSIE	Humeur jalouse.
JAMBETTE	Croc-en-jambe, croche-pied.
JAMBOREE	Rassemblement de scouts.
JANTHINE	Gastéropode marin comestible de la Méditerranée.
JANTILLE	Aube de la zone d’un moulin à eau.
JAPONAIS	Habitant du Japon.
JAQUELIN	Jacqueline ou jaqueline.
JARDINER	Travailler à un jardin, en parlant d’une personne qui en fait son passe-temps.
JARDINET	Petit jardin.
JAROUSSE	, synonyme de gesse chiche.
JARRETER	Mettre des jarretières.
JARRETON	Plat cuisiné à base de jarreton ou de jarret.
JASEMENT	Action de jaser.
JASPINER	Jaser, bavarder.
JASSEUSE	Joueuse de jass.
JAUGEAGE	Action de jauger.
JAUGEUSE	Celle dont l’emploi est de jauger.
JAUNASSE	Tirant sur le jaune.
JAUNISSE	Jaune sale.
JAVANAIS	Personne originaire de, ou habitant sur l’Île de Java.
JAVELAGE	Dessèchement complet d'une plante laissée dans un champ.
JAVELEUR	Après le fauchage, ouvrier agricole qui forme les javelles afin de mettre la moisson à l’abri.
JAVELINE	Petite javelle de céréales.
JAZZIQUE	Qui concerne ou évoque le jazz.
JEANNOIS	Relatif au .
JECTISSE	pierres jectisses : pierres qui peuvent se poser à la main.
JERRICAN	Bidon pour carburant automobile.
JERSIAIS	Relatif à Jersey, à ses habitants, à sa culture.
JEUNESSE	Nom de famille.
JEUNETTE	Jeune femme.
JEUNISME	Excès d’amour pour la jeunesse.
JEUNISTE	Adepte du jeunisme, qui exalte les jeunes et la jeunesse.
JEUNOTTE	Jeune.
JOAILLER	Personne qui fabrique des objets de parure, en mettant en valeur principalement des pierres précieuses, des pierres fines, des pierres ornementales et des perles, sur des montures d’argent, d’or, de platine et palladium.
JOBARDER	Duper.
JOBASTRE	Fou.
JOCRISSE	Benêt qui se laisse mener par le premier venu.
JODHPURS	Pantalon d’équitation ajusté du genou à la cheville et qui se porte sans bottes.
JOGGEUSE	Sportive qui fait du jogging.
JOIGNANT	Tout proche, sans qu’il y ait rien entre-deux.
JOINTAGE	Opération consistant à donner leur forme définitive aux douelles d’un tonneau.
JOINTURE	Joncture.
JOLIESSE	Qualité de ce qui est joli.
JOLIETTE	Nom de famille.
JOLIMENT	Beaucoup ; extrêmement.
JONCHAIE	Lieu où poussent les joncs.
JONCHETS	Jeu utilisant des jonchets, et consistant à retirer des bâtonnets entremêlés au moyen d’un crochet sans en heurter aucun autre.
JONCTION	Lieu, endroit de rencontre, de liaison.
JONGLAGE	Action de jongler.
JONGLEUR	Celui qui jongle.
JONKHEER	Titre nobiliaire hollandais.
JOUBARBE	Crassulacée toujours verte, dont l’espèce la plus commune croît ordinairement sur les toits et sur les murs et se nomme artichaut bâtard.
JOUFFLUE	Personne qui a de grosses joues.
JOUISSIF	Qui provoque l’orgasme.
JOURNADE	Vêtement flottant du siècle, ouvert sous les bras, pourvu de manches courtes, avec ou sans ceinture, souvent utilisé pour la chevauchée et par les hérauts.
JOUTEUSE	Celle qui joute contre quelqu’un.
JOUVENCE	Jeunesse.
JOVIENNE	Habitante de Job, commune française située dans le département du Puy-de-Dôme.
JOYSTICK	Manette de jeu vidéo ou d'engins roulants, composée d’un manche et de boutons.
JUBILANT	Qui jubile.
JUDOKATE	Sportive pratiquant le judo.
JUGEABLE	Qu’on peut juger.
JUGEMENT	Avis, sentiment, opinion.
JUIVERIE	Histoire juive.
JUJUBIER	Nom donné en français au arbres du genre botanique Ziziphus.
JUMELAGE	Relation établie entre deux villes de pays différents.
JUMELLES	Commune française du département de l’Eure.
JUNONIEN	Relatif à Junon.
JUPONNER	Revêtir d’un jupon.
JUREMENT	Blasphème, imprécation.
JUSTESSE	Qualité qui fait apprécier les choses d’une manière exacte.
KAKEMONO	Encadrement, sous forme d'un rouleau de tissu accroché à une baguette de bambou, des estampes et calligraphies japonaises.
KALMOUKE	Habitante de la Kalmoukie.
KAMIKAZE	Suicidaire.
KANTISME	Doctrine philosophique se réclamant de la philosophie de Kant.
KANTISTE	Partisan du kantisme.
KAOLIANG	Vin de sorgho
KAPOKIER	Nom donné à deux genres d’arbres de la famille des Bombacaceae, comprenant en tout environ une quinzaine d’espèces d’Amérique tropicale (genre Ceiba) et des régions tropicales et subtropicales d’Afrique et d’Asie du Sud-Est (genres Bombax et Ceiba), pouvant atteindre 70 m de hauteur, et qui fournissent une fibre très prisée, le kapok, un excellent bois d’œuvre, ainsi que des dérivés alimentaires et médicinaux.
KARMIQUE	Relatif au karma.
KATAKANA	Syllabaire qui regroupe l’ensemble de ces caractères.
KATCHINA	Masque ou poupée en bois représentant un esprit.
KEEPSAKE	Objet que l’on conserve en souvenir d’un événement, par nostalgie.
KEIRETSU	Conglomérat, habituellement japonais, composé d’un ensemble d’entreprises entretenant entre elles des participations croisées.
KERMESSE	Tableau représentant une kermesse.
KHAKASSE	Langue turque parlée dans la République de Khakassie et dans le sud du kraï de Krasnoïarsk en Russie.
KIBBOUTZ	Collectivité juive créée, en Israël, par le mouvement sioniste sous l'influence des idées du socialisme associatif.
KIBITZER	Au bridge ou aux échecs, regarder une partie en faisant des commentaires indésirables.
KIGALOIS	Relatif à Kigali, capitale du Rwanda, ou à ses habitants.
KILOBASE	Unité correspondant à 1 000 paires de bases d’ADN bicaténaire.
KILOBYTE	Kilooctet.
KILOEURO	Mille euros (symbole : k€)
KILOVOLT	Unité de mesure de force électromotrice (tension électrique) du Système international (SI), valant 10 volts, et dont le symbole est kV.
KILOWATT	Unité de mesure de puissance du Système international (SI), valant 10 watts, et dont le symbole est kW.
KINKAJOU	Mammifère mustéloïde arboricole et nocturne de la forêt humide des Guyanes, de l’Amazonie, des Andes et de l’Amérique centrale, de nom scientifique Potos flavus.
KIRGHIZE	Femme de l’ethnie kirghize.
KIRIGAMI	Le résultat obtenu par découpage selon l'art du kirigami.
KITESURF	Sport nautique qui se pratique avec un équipement composé d’une planche de surf modifiée et d’une voile, genre voile de parapente qui, une fois gonflée et attachée par des sangles autour de la ceinture du surfeur, assure la traction par les rafales de vent.
KLEVENER	Vin blanc d’Alsace produit autour de la commune d’Heiligenstein, dont le nom est issu de son cépage.
KLYSTRON	Tube à vide qui permet de réaliser des amplificateurs de moyenne et forte puissance à bande étroite en hyperfréquences.
KNICKERS	Sorte de bermuda descendant en-dessous du genou et s’attachant par une boutonnière
KOLINSKI	Fourrure du putois ou de la loutre de Sibérie.
KOLKHOZE	Coopérative agricole en URSS et dans le bloc de l’Est.
KOMSOMOL	Organisation de jeunesse communiste du Parti communiste de l'Union soviétique.
KORRIGAN	Esprit, génie à l’apparence de lutin malfaisant ou bienfaisant dans la tradition bretonne.
KORTHALS	Synonyme de griffon à poil dur (race de chien).
KOSOVARE	Habitante du Kosovo.
KOSOVIEN	Relatif au Kosovo, territoire et État des Balkans, ou à ses habitants.
KOULITCH	Brioche de Pâques traditionnelle des pays de religion orthodoxe, notamment la Russie.
KOURGANE	En Russie, sépulture préhistorique recouverte dʼun tumulus.
KREUTZER	Ancienne monnaie autrichienne qui est la soixantième partie du florin.
KYMRIQUE	Gallois.
KYRIELLE	Toute longue série, multitude.
KYSTIQUE	Qui prend la forme d'un kyste ou qui est relatif à un kyste.
LABADENS	Condisciple, camarade de classe.
LABDANUM	Résine de la gomme produite par les feuilles du ciste Cistus ladaniferus.
LABOURER	Blesser moralement en profondeur.
LABRADOR	Région du nord-est du Canada.
LACANIEN	Le langage ou la pensée de .
LACEMENT	Action de lacer.
LACHEREZ	Nom de famille.
LACONIEN	Habitant de la Laconie.
LACRYMAL	Qui a rapport aux larmes.
LACTAIRE	Qui a rapport au lait, à l'allaitement.
LACTIQUE	Qui provient du lait.
LACTODUC	Canalisation en verre ou en acier inoxydable qui achemine le lait de la salle de traite vers un réservoir de stockage, initialement utilisée dans les alpages du Valais.
LACUNEUX	Qui comporte des lacunes, des espaces vides.
LACUSTRE	Relatif aux lacs et à tous les plans d’eau douce.
LADINIEN	Relatif au Ladinien.
LADRERIE	Avarice sordide.
LAGOTIEN	Relatif à la ville de Lagos, capitale du Nigéria.
LAGUIOLE	Synonyme d’aubrac (race de bovin).
LAGUNAGE	Technique naturelle d’épuration de l’eau.
LAIDERON	Jeune fille ou jeune femme laide.
LAINERIE	Lieu où l’on tond les moutons.
LAITANCE	Lueur blanchâtre.
LAITERIE	Pavillon édifié dans un parc, à l'imitation d'une laiterie rustique.
LAITERON	Laiteron maraîcher (Sonchus oleraceus L.).
LAMANAGE	Action de lamaner
LAMANEUR	Relatif au lamanage.
LAMANTIN	Mammifère aquatique herbivore voisin du dugong, du genre Trichechus.
LAMBINER	Faire lentement, mollement le peu qu’on fait.
LAMENTER	Manifester sa douleur, ses regrets avec plaintes et gémissements.
LAMINAGE	Anéantissement, .
LAMINEUR	Ouvrier qui lamine les métaux .
LAMINEUX	Formé de lames, de feuillets.
LAMINOIR	Atelier dans lequel se trouve cette machine.
LAMPERON	Petit tuyau ou languette qui tient la mèche dans une lampe.
LAMPISTE	Celui qui les entretient.
LAMPROIE	Agnathe marin ou d'eau douce, de forme allongée et cylindrique, sans nageoires paires, à peau visqueuse sans écailles, filtreur à l'état larvaire et ectoparasite hématophage à l'état adulte et qui, au printemps, remonte les fleuves et les rivières.
LAMPSANE	Nom usuel des diverses plantes européennes du genre Lampsana, de la famille des Asteraceae en particulier Lampsana communis.
LANCETTE	Petite lance.
LANCEUSE	Celle qui lance.
LANCINER	Donner des élancements douloureux.
LANDAISE	Habitante de La Lande-Patry, commune française située dans le département de l’Orne.
LANDWEHR	Commune d’Allemagne, située dans la Basse-Saxe.
LANGEAIS	Canton français, situé dans le département d’Indre-et-Loire.
LANGHIEN	Relatif au Langhien.
LANGUEUR	État d’abattement d’une personne faible et malade.
LANGUIDE	En parlant d’une chose :
LANGUIER	Langue et gorge d’un porc quand elles sont fumées.
LANLAIRE	Onomatopée qui s’emploie surtout dans l'expression aller se faire lanlaire.
LANOLINE	Matière grasse issue du suint de la laine.
LANTERNE	Rivière de la partie méridionale du massif vosgien.
LANTHANE	Élément chimique de numéro atomique 57 et de symbole La, terre rare prototype des lanthanides.
LANTURLU	Hurluberlu.
LAONNOIS	Relatif à Laon, commune de l’Aisne, en France.
LAPEMENT	Action de laper.
LAPEREAU	Jeune lapin.
LAPICIDE	Graveur sur pierres.
LAPIDEUR	Qui lapide.
LARDOIRE	Espèce de sabot ou de pique de fer avec lequel on arme l’extrémité des pieux.
LARGABLE	Qui peut être largué, notamment à partir d’un avion en vol.
LARGESSE	Ce qu’on donne généreusement.
LARGONJI	Argot consistant à remplacer la première consonne par L et à prononcer la consonne initiale à la fin du mot.
LARGUEUR	Spécialiste chargé, à bord d’un aéronef, du parachutage de personnel ou de matériel.
LARMIERS	Larmières des cervidés.
LARMOYER	Pleuvoir.
LARRONNE	Pillarde, brigande.
LARVAIRE	Relatif aux larves.
LARYNGAL	Relatif au larynx.
LASURAGE	Action de lasurer, d’enduire de lasure.
LATANIER	Genre de palmier originaire de La Réunion de l’île Maurice et des Mascareignes et dont les feuilles sont en éventail.
LATITUDE	Liberté d’agir.
LATOMIES	Carrières où l’on renfermait des prisonniers.
LATRINES	Lieu où l’on satisfait les besoins naturels, toilettes.
LAUDANUM	Nom donné à diverses préparations contenant de l’opium.
LAUDATIF	Désigne un discours visant à glorifier ou à vanter les mérites de quelqu’un ou quelque chose. En général, un terme laudatif est plus fort qu’un mot mélioratif car il n’a pas qu’une connotation positive.
LAVANDIN	Hybride (Lavandula X intermedia) entre la lavande vraie (Lavandula angustifolia) et l'aspic (Lavandula latifolia), cultivé pour la parfumerie.
LAVATORY	Toilettes publiques, dans un contexte anglo-saxon.
LAVEMENT	Action de laver.
LAVIGNON	Espèce de mollusque bivalve comestible qui vit enfoncé dans la vase, notamment celle des estuaires.
LAYETIER	Celui qui fabrique et vend des caisses et des coffres en bois servant généralement d’emballage.
LAZULITE	Minéral généralement bleu, parfois bleu-vert composé de phosphate de magnésium d'aluminium et de fer, dont la formule est .
LAZURITE	Minéral bleu de la famille des alumino-silicates.
LEADEUSE	Cheffe d’un parti politique ou d’un groupe quelconque, en particulier lorsqu’elle sait entraîner ce groupe à sa suite.
LECKERLI	Sorte de pain d’épice traditionnel de Bâle, en Suisse.
LECTORAT	Ensemble des personnes ayant lu un livre, un auteur.
LECTRICE	Bénévole qui lit à haute voix pour une ou plusieurs personnes.
LEGGINGS	Caleçons ou collants féminins.
LENTILLE	Lentille de contact.
LEONBERG	Commune d’Allemagne, située en Bavière.
LESBISME	Synonyme de lesbianisme.
LESOTHAN	Habitant ou originaire du Lesotho.
LESSIVER	Tuer, éliminer.
LETTONES	Orthographe alternative de lettonnes.
LETTONNE	Habitante de la Lettonie.
LETTRAGE	Résultat de cette action.
LETTREUR	Ouvrier graphiste spécialisé dans l'écriture des panneaux et enseignes commerciales.
LETTREUX	Littéraire.
LETTRINE	Petite lettre encadrée de parenthèses que l’on place sur le côté droit d’un mot pour signifier un renvoi vers une note.
LEUCANIE	Insecte lépidoptère (noctuidés), noctuelle dont la chenille vit sur les graminées et sur diverses plantes potagères.
LEVANTIN	Personne originaire du Levant.
LEVRETTE	Femelle du lévrier.
LEVRONNE	Jeune levrette.
LEVURAGE	Étape de la vinification et du brassage consistant à levurer le moût, l’ensemencer de levures afin de provoquer sa fermentation alcoolique et de prévenir sa madérisation.
LEVURIER	Marchand, fabricant de levure.
LIAISONS	Relations, fréquentations.
LIASIQUE	Qui est formé de lias.
LIBANAIS	Habitant ou originaire du Liban.
LIBATION	Liquide destiné à cet acte.
LIBECCIO	Synonyme de labech.
LIBELLER	Exposer, formuler.
LIBERTIN	Licencieux, voluptueux, invitant au plaisir.
LIBOURET	Ligne terminée par un poids de plomb, et qui passe à travers un morceau de bois nommé avalette.
LIBRAIRE	Celui ou celle qui fait le commerce des livres.
LIBRETTO	Explication d’une pantomime ou d’un ballet.
LIBYENNE	Habitante ou originaire de Libye.
LICHETTE	Petite tranche de pain.
LICHEUSE	Femme qui aime à licher, c’est-à-dire gourmande de friandises et de petits alcools.
LICHOUSE	Gourmande.
LIFTEUSE	Joueuse spécialiste du lift.
LIGAMENT	Partie blanche et fibreuse qui sert à attacher des os ou des viscères et quelquefois à les soutenir.
LIGATURE	Signe indiquant une syncope.
LIGNAGER	Fondé sur le lignage.
LIGNETTE	Légère et petite ligne de pêche.
LIGNEUSE	Kayakiste qui pratique la course en ligne.
LIGOTAGE	Action de ligoter ou résultat de cette action.
LIGUEUSE	Celle qui faisait partie de la Ligue, du temps de et de .
LIGURIEN	Relatif à la Ligurie ou sa culture.
LILLOISE	Habitante de Lille en Belgique.
LIMAILLE	Les petites parties de métal que la lime fait tomber.
LIMBAIRE	Relatif au limbe d’une feuille (à sa partie large et aplatie).
LIMBIQUE	Relatif aux limbes.
LIMEQUAT	Le fruit de cet arbre.
LIMERICK	Ville située dans la province de , en Irlande.
LIMICOLE	Charadriiforme.
LIMITANT	Qui limite quelque chose ou quelqu’un.
LIMITEUR	Dispositif, appareil destiné à empêcher qu’un paramètre physique dépasse une certaine limite.
LIMIVORE	Animal qui se nourrit de vase, de boue.
LIMNIQUE	Nymphe des lacs, dans la mythologie grecque.
LIMONADE	Commune d’Haïti dans le département du Nord.
LIMONAGE	Épandage de limon causé par une crue.
LIMONAIS	Habitant de Limon, commune française située dans le département de la Nièvre.
LIMONEUX	Où il y a beaucoup de limon.
LIMONIER	Nom vulgaire du citronnier, Citrus limon.
LIMONITE	Hématite brune, fer oxydé et hydraté, de formule chimique .
LIMOUSIN	Billy (race de chien).
LINGERIE	Pièce de linge.
LINGETTE	Sorte d’étoffe croisée de laine, espèce de flanelle.
LINGOTER	Mettre sous forme de lingot.
LINGOTIN	Petit .
LINGUALE	Consonne linguale.
LINGUINE	Pâte alimentaire longue italienne originaire de la Ligurie, proche du spaghetti mais de forme aplatie.
LINIMENT	Médicament fait d’huile et d’autres substances, qui s’emploie en frictions ou en applications pour adoucir et amollir.
LINOTYPE	Qui est issu d’une linotype.
LIONCEAU	Petit d’un lion.
LIPIZZAN	Race de cheval de parade, dont la taille moyenne au garrot avoisine 1 mètre 60, à robe baie ou noire à la naissance qui s'éclaircit progressivement pour devenir d'un gris très clair, originaire de Slovénie et culturellement liée à l'École espagnole de Vienne en Autriche : dressage et haute école, attelage.
LIPOLYSE	Libération des acides gras dans le sang.
LIPOSOME	Vésicule microscopique, formée d’une bi-couche phospholipidique.
LIQUETTE	Chemise.
LIQUIDER	Tuer quelqu’un.
LISERAGE	Ouvrage qui se fait sur une étoffe, en contournant les fleurs et le dessin avec un seul fil d’or, d’argent, de soie ou de laine.
LISSEUSE	Machine pour faire le lissage en filature.
LISTERIA	Un bacille de petite taille, mobile à 20 °C (grâce à des flagelles), gram positif, catalase positif, non sporulé, anaérobie facultatif, ubiquistes et très résistante, pouvant être agent d'une des listérioses.
LITHARGE	Monoxyde de plomb fondu et cristallisé en lames.
LITHIASE	Formation de dépôts (calculs, ou sédiments) dans une partie de l’organisme, un tissu, un conduit ou une cavité.
LITHIQUE	Qui contient des débris de roche.
LITHOBIE	Genre de mille-pattes qui possèdent 15 paires de pattes, dont deux se sont transformées en crochets à venin appelés les forcipules.
LITHOSOL	Sol directement constitué de la roche-mère, plus ou moins dégradée en surface, éventuellement recouverte d’une fine couche de terre.
LITIGANT	Qui est plaidant ou qui plaide.
LITTORAL	Province de Guinée équatoriale, dont le chef-lieu est Bata.
LITURGIE	Appareil cérémoniel.
LIVONIEN	Membre du peuple de Livonie.
LIVRABLE	Qui doit être livré.
LIVREUSE	Voiture de livraison.
LIXIVIAT	Liquide chargé de composés dissous ou en suspension, produit par la percolation de l’eau à travers un matériau, notamment les déchets d’une décharge.
LIXIVIER	Faire passer lentement un liquide à travers une poudre pour en extraire les produits solubles.
LOBBYING	Activités ou pressions exercées par un lobby afin d’obtenir des décisions qui lui sont favorables ou une influence favorable sur des décisions.
LOBULEUX	Qui contient des lobules, est composé de lobules (petits lobes).
LOCALIER	Journaliste qui rapporte les nouvelles d'intérêt seulement local.
LOCATEUR	Celui qui donne à bail.
LOCATION	Action par laquelle le propriétaire d’une chose la donne à quelqu’un, à titre de louage ou de bail.
LOCAVORE	Qui se nourrit d’aliments produits près de chez lui.
LOCKISTE	Partisan de et de sa philosophie.
LOCULEUX	Synonyme de loculaire.
LOCUTEUR	Personne qui parle ; émetteur de l’énonciation.
LOCUTION	Manière de dire.
LOGATOME	Mot qui n’a pas de signification, mais qui est construit avec des syllabes et conformément aux schémas phonologiques d’une langue. Il peut servir d’exercice de prononciation.
LOGEABLE	Où l’on peut loger commodément.
LOGEMENT	Endroit où loger.
LOGICIEL	Programme informatique.
LOGICIEN	Spécialiste de la logique informatique.
LOGOTYPE	Ensemble de caractères réunis en un seul pour en faciliter la composition manuelle.
LOINTAIN	Qui provient de loin.
LOISIBLE	Qui est permis, qui ne dépend que du libre choix.
LOMBAIRE	Habitant de Lombreuil, commune française située dans le département du Loiret.
LOMBARDE	Habitante de la Lombardie.
LONGEANT	Qui longe, qui présente la particularité de longer quelque chose, qui a pour propriété de longer.
LONGEOLE	Terrain de forme très allongé.
LONGERON	Élément de structure longitudinal principal du fuselage ou de l’aile.
LONGOTTE	Calicot gros et lourd qui forme une sorte d’intermédiaire entre la toile de coton et les tissus destinés à l’impression, ses fils de trame sont plus fin que ceux de la chaine.
LONGRINE	Élément de fondation horizontal répartissant les charges de l’ouvrage sur ses points d’appui.
LONGUEUR	Durée du temps.
LOQUETER	Laver le sol à l’aide d’une loque.
LOQUETTE	Nom de famille.
LORGNEUR	Personne qui lorgne.
LORIQUET	Nom normalisé donné à deux genres d'oiseaux de petite taille et généralement multicolores et de couleurs très vives, comprenant 15 espèces de la famille des psittaculidés (e.g. perruches, inséparables, etc.) et de la sous-famille des Loriinae, se distinguant des loris par leur queue allongée et conique, leurs rayures pectorales transversales ou longitudinales, et qui sont originaires d’Australasie (genres Psitteuteles et Trichoglossus).
LOUANGER	Manifester son admiration avec excès.
LOUBARDE	Jeune au comportement marginal, ressentie comme une menace, un danger et souvent effectivement délinquante.
LOUCHANT	Qui est affecté de strabisme.
LOUCHEUR	Qui louche.
LOUFOQUE	Fou.
LOULOUTE	Enfant, jeune fille.
LOUPIOTE	Habitante de Saint-Loup, commune française située dans le département de l’Allier.
LOURDAIS	Habitant de Lourde, commune française située dans le département de la Haute-Garonne.
LOURDAUD	Lourd et maladroit, pataud.
LOURDEUR	État de ce qui est lourd.
LOURDISE	Lourdeur, lourderie.
LOUTRIER	Terrier de la loutre
LOUVETER	Mettre bas, en parlant d’une louve.
LOUVETTE	(Sarthe) Tique.
LOUVOYER	Avancer en zigzaguant.
LOVELACE	Élégant séducteur de femmes ; don Juan ; suborneur.
LUANDAIS	Relatif à Luanda, capitale de l’Angola, ou à ses habitants.
LUBRIQUE	Qui marque, qui manifeste de la lubricité.
LUCANIEN	Habitant ou originaire de la Lucanie.
LUCIFUGE	Qui fuit la lumière. — Se dit spécialement de certains animaux qui vivent dans l'obscurité.
LUCQUOIS	Relatif à Lucques, province italienne ou à ses habitants.
LUCRATIF	Qui rapporte de l’argent, qui apporte un profit.
LUDDISME	Mouvement ouvrier opposé à la machinisation pour protéger emplois et bien-être.
LUDICIEL	Jeu utilisant un dispositif informatique.
LUISANCE	Qualité de ce qui luit.
LUISANTE	Chaussures vernies.
LUISETTE	Synonyme de donax.
LUMIGNON	Petite lumière, quinquet.
LUMINEUX	Ingénieux.
LUMITYPE	Gamme de photocomposeuses (historiquement les premières machines de ce type) utilisées dans les années 1950 et 1960.
LUNAISON	Temps qui s’écoule depuis la nouvelle lune jusqu’à la prochaine nouvelle lune.
LUNAPARK	Luna Park, parc d’attraction ou parc forain de grande dimension.
LUNETIER	Qui porte des lunettes.
LUNETTES	Manière de voir, de penser ou de juger des choses.
LUPERQUE	Prêtre du dieu Lupercus, dont on célébrait annuellement les lupercales.
LUPULINE	Résine issue du houblon qui donne de l’amertume à la bière.
LUSAKOIS	Relatif à Lusaka, ville du Zambèze, ou à ses habitants.
LUSITAIN	Portugais .
LUSTRAGE	Action de lisser des plumes ou des poils.
LUSTRANT	Qui lustre, fait briller.
