ABAISSER	Se baisser.
AGATHOIS	Relatif à Sainte-Agathe-des-Monts, ville québécoise.
AGENCEUR	Personne qui agence, qui met en place.
AGENCIER	Relatif aux agences de presse.
AGENOISE	Synonyme d’Agenaise.
AGERATUM	Astéracée annuelle pouvant atteindre un mètre de haut, aux fleurs bleues ou mauves.
AGGRAVER	Rendre plus grave.
AGIOTAGE	Spéculation sur l’agio et le change, et, par extension, sur toutes les valeurs, effets de commerce ou marchandises, mais seulement quand cette spéculation est accompagnée d’actes répréhensibles ou délictueux.
AGIOTEUR	Celui qui se livre à l’agiotage.
AGISSANT	Qui agit, qui se donne beaucoup de mouvement.
AGLYCONE	Composé organique constitué de la partie non glucidique d’un hétéroside.
AGNATHES	Ancienne superclasse qui regroupait des animaux à corde dorsale et possédant un crâne dépourvu de mâchoires.
AGNATION	Lien de consanguinité entre eux.
AGNELAGE	Mise bas des agneaux au printemps, après 5 mois de gestation.
AGNELAIS	Habitant d’Agneaux, commune française située dans le département de la Manche.
AGNELINE	Laine des agneaux obtenue par la première tonte.
AGOGIQUE	Légères modifications de rythme ou de tempo dans l’interprétation d’un morceau de musique de manière transitoire, en opposition à une exécution exacte et mécanique.
AGONALES	Fêtes en l’honneur de Janus.
AGONIQUE	Relatif à l’agonie.
AGONISER	Être à l’agonie ; être en train de mourir.
AGONISTE	Lutteur.
AGRAFAGE	Action d’agrafer.
AGRAINER	Répandre du grain pour la nourriture des animaux qu’on élève dans les garennes, les terrains où l’on chasse…
AGRANDIR	Exagérer.
AGRAPHIE	Impossibilité d’écrire, constituant, avec l’aphasie, deux symptômes importants des maladies mentales, des apoplexies et du ramollissement cérébral ou des incapacités motrices.
AGRARIEN	Qui a rapport aux lois agraires.
AGRESSER	Entamer par la force, par la contrainte, par la surprise ou par la ruse l’intégrité physique, psychologique ou sexuelle d’une personne.
AGRESSIF	Qui tient de l’agression, qui a le caractère de l’agression.
AGRIFFER	S’attacher avec les mains.
AGRIPPER	Saisir de façon très ferme, avide ou désespérée.
AGRONOME	Scientifique formé aux sciences agricoles et agronomiques.
AGROSTIS	Agrostide.
AGUERRIR	Accoutumer aux fatigues de la guerre.
AGUEUSIE	Perte du goût de la vie.
AGUICHER	ou Exciter, agacer, irriter.
AGUILLER	Organiser une affaire de manière douteuse.
AHEURTER	Contrecarrer quelqu’un.
AIGLEFIN	Poisson proche de la morue, de nom scientifique Melanogrammus aeglefinus.
AIGLETTE	Meuble représentant une aigle de petite taille dans les armoiries. On utilise ce nom quand l’aigle est reléguée dans une position secondaire (charge d'une pièce, place moins prestigieuse dans l’écu). Elle se blasonne comme l’aigle avec bec et pattes contrairement à l’alérion. À rapprocher de aiglat, aigle, aiglettes, aiglons, émerillon, épervier, faucon, gerfaut et vautour.
AIGLONNE	Habitante de L’Aigle, commune française située dans le département de l’Orne.
AIGREFIN	Homme maigrichon, chétif.
AIGRELET	Un peu aigre, acidulé.
AIGRETTE	Sorte d’ornement composé de fils de verre droits et fins.
AIGUERIE	Variante d’aiguage et aigage.
AIGUILLE	Clocher pointu.
AIGUISER	Rendre aigu.
AILLEURS	En un autre lieu.
AIMANTER	Plonger, fixer.
AIREDALE	Variante d’airedale terrier.
