ABASOURDI	Extrêmement surpris
TROGLOBIE	Qualité d’un animal exclusivement cavernicole
TROPHIQUE	concerne la nutrition des organes et des tissus
TROUBLANT	cause un trouble
TROUVABLE	peut être trouvé
TRUCULENT	est violent ou excessif
TUBERCULE	Éminence qui se forme sur la peau
TUBULAIRE	a la forme d’un tube
TUMESCENT	Enflé, gonflé
TURBIDITE	Sédiment déposé par un courant de turbidité
TURBINAGE	la turbine
TURQUERIE	Âpreté, dureté
TURRICULE	Déjection de lombric, de ver de terre
TUYAUTAGE	tuyauter au propre comme au figuré
UBIQUISTE	est doué d’ubiquité
ULTRACHIC	Extrêmement chic
ULTRAPLAT	Extrêmement plat
UNCIFORME	est en forme de crochet
UNICOLORE	n’a qu’une couleur
UNILINGUE	ne parle, qui n’emploie qu’une seule langue
UNIPOTENT	découle d’une unique sorte de cellule
UNITARIEN	Apparenté à l'unitarisme
UNIVERSEL	est considéré comme commun à tous les hommes
UPWELLING	Résurgence des eaux océaniques venues des profondeurs
URGEMMENT	D’une manière urgente ; de toute urgence
UROCHROME	Matière colorante de l’urine
USUCAPION	Manière d’acquérir par la possession ou par l’usage
UTILEMENT	D’une manière utile
VACANCIER	concerne les vacances
VACATAIRE	Rémunéré à la vacation
VAGOTONIE	Hyperexcitabilité du système nerveux parasympathique (nerf vague)
VAGUEMENT	D’une manière vague
VAINQUEUR	a vaincu
VALEUREUX	est brave, vaillant, qui a beaucoup de valeur
VANILLIER	concerne la vanille et sa culture
VARIOLEUX	a la variole
VASSELAGE	État, condition de vassal
VASTEMENT	D’une manière vaste
VATICINER	Prophétiser avec emphase
VENGEANCE	Désir de se venger
VERMICIDE	détruit les vers
VERMIFUGE	Médicament vermifuge
VERMINEUX	est atteint par la vermine
VERMIVORE	vit de vers ou d’insectes
VERNATION	Préfoliation, préfloraison
VERSATILE	est sujet à tourner, à changer
VESTIGIAL	est un vestige des processus d'évolution
VEXATOIRE	a le caractère de la vexation
VICARIANT	remplace quelque chose d’autre
VIGOUREUX	a de la vigueur
VINGTAINE	Période de la vie entre 20 et 29
VIROLOGIE	Étude des virus et de leurs propriétés
VIROLOGUE	Spécialiste de la virologie
VIRULENCE	Qualité de ce qui est virulent
VISITEUSE	Ouvrière qui procède au visitage
VITALISME	Théorie selon laquelle le corps humain est animé
VITELOTTE	Variété de pomme de terre, longue et violette
VIVANDIER	se rapporte aux vivres
VOCALIQUE	a rapport aux voyelles
VOILEMENT	voiler ; résultat de cette action
VOISEMENT	voiser, sonorisation d'une prononciation
VOISINAGE	Proximité d’un repère
VOITURIER	se rapporte à l'industrie automobile
VOMISSURE	Matière vomie
WEBDESIGN	variantes orthographiques de web design
WEBMASTER	Créatrice, créateur ou responsable de site web
WEBMESTRE	Créateur ou responsable de site web
WRONSKIEN	Déterminant d’une famille de solutions d’une équation différentielle
XYLOPHAGE	dévore, ronge le bois
YOHIMBEHE	Écorce du yohimbehe
YTTERBIUM	Métal pur de cet élément, gris-argenté, malléable, ductile
ZINGUEUSE	Ouvrière qui travaille le zinc
ZIRCONITE	Variété de zircon
ZIRCONIUM	Métal de couleur blanc argenté
ZOOMORPHE	a ou prend l’apparence d’un animal
ZYMOLOGIE	Étude des enzymes et de la fermentation
