ABASOURDI	Extrêmement surpris
CANTINIER	relève d'une cantine
CANTONALE	Élection départementale par canton
CAPACITIF	relève des phénomènes de capacité
CAQUETEUR	aime à caqueter, qui caquète beaucoup
CARBURANT	Matière qui alimente, fait marcher
CARCINOME	Variété de cancer qui se développe à partir
CARESSANT	aime à caresser
CARESSEUR	caresse, donne des signes d'affection
CARNIFIER	Acquérir la consistance des parties charnues
CAROTTAGE	extorquer quelque chose à quelqu’un
CARRELAGE	carreler, résultat de cette action
CARROUSEL	Manège de chevaux de bois
CARROYAGE	carroyer, de former un quadrillage
CARTONNER	Posséder sexuellement
CARTOUCHE	Célèbre bandit français
CATALYSER	Déclencher, susciter une réaction, une émotion
CATARRHAL	appartient ou qui a rapport au catarrhe
CATHARSIS	Thérapie utilisant l’extériorisation des traumatismes vécus
CATISSAGE	Opération par laquelle on catit
CAUCHEMAR	Rêve pénible ou effrayant, provoquant l'angoisse
CAULICOLE	vit sur les tiges d’autres végétaux
CAUSTIQUE	est brûlant, corrosif
CAUTELEUX	agit d’une façon détournée et sournoise
CAVERNEUX	Où il y a des cavernes
CAVICORNE	a des cornes creuses
CELLULEUX	est divisé en cellules, composé de cellules
CELLULOSE	Pâte à papier
CELTISANT	a certains caractères celtes
CENTENNAL	concerne une période de cent ans
CEPENDANT	Néanmoins ; toutefois ; nonobstant cela
CERTIFIER	Témoigner qu’une chose est vraie
CERTITUDE	Stabilité, pérennité
CERVICALE	Vertèbre cervicale
CESSATION	cesser quelque chose
CHAHUTEUR	fait du chahut
CHALLENGE	Défi, épreuve
CHALUTAGE	Pêche au chalut
CHALUTIER	se fait au chalut
CHAMBRIER	Économe d’un monastère
CHAMOISER	Préparer une peau de chamois
CHAMPLURE	Péché d’intempérance
CHANCREUX	est atteint par le chancre
CHANGEANT	change facilement
CHANLATTE	Échelle quelconque
CHANTABLE	peut être chanté
CHAPELIER	concerne les chapeaux
CHAPITRAL	appartient à un chapitre de religieux
CHAPITRER	Réprimander un chanoine ou un religieux en plein
CHARLATAN	a des manières ou qui utilise des procédés
CHARLOTTE	Variété de pomme de terre
CHARRETON	, sorte de charrette sans ridelles
CHARRETTE	Période de travail intense
CHASSABLE	peut être chassé
CHASSIEUX	est affecté de chassie
CHAUFFANT	permet de chauffer
CHAVIRAGE	faire chavirer
CHAVIRANT	fait chavirer
CHEFFESSE	Épouse d’un chef
CHEVROTER	Bêler (en parlant de la chèvre)
CHIATIQUE	Embêtant, pénible
CHIFFONNE	Grêle et inutile
CHIFFRAGE	chiffrer un document
CHIPOLATA	Ragoût à l’oignon
CHIPOTIER	aime à chipoter
CHIQUETER	Démêler la laine
CHLORIQUE	Dérivé du chlore
CHLORURER	Imprégner de chlorure ou de chlore
CHONDRITE	est composé de chondrite
CHROMEUSE	Ouvrière qui pratique le chromage
CHROMIQUE	est formé de chrome et d’oxygène
CHRONIQUE	dure longtemps
CHTOUILLE	Décharge électrique
CILLEMENT	ciller les yeux
CIMENTAGE	cimenter, le résultat de cette action
CIRCADIEN	D’un rythme biologique dont la période est d’environ
CIRCULANT	circule, qui est en circulation
CISELEUSE	Ouvrière dont le métier est de ciseler
CITRONNAT	Écorce de citron confite
CIVILISTE	Spécialiste du droit civil
CLAFOUTIS	Gâteau à base de cerises noires et d’une
CLASSEUSE	Employée de bureau chargée de classer des documents
CLASSIEUX	a beaucoup de classe
CLASTIQUE	comporte des failles ou des fissures
CLAVELEUX	a contracté la clavelée
CLERGYMAN	Ecclésiastique anglais, prêtre dans l’église anglicane
CLICHEUSE	Ouvrière qui cliche
CLINQUANT	Agréments recherchés, prétentieux et trop brillants
CLIPSABLE	peut être clipsé
COAUTRICE	d’un ouvrage réalisé en collaboration
COBALTINE	Minéral, synonyme de cobaltite
COCARDIER	porte une cocarde, en parlant de taureaux
COCUFIAGE	cocufier quelqu’un
COERCIBLE	peut être resserré et retenu dans un certain
COGNEMENT	cogner ; bruit résultant de cette action
COLLECTER	Récupérer, rassembler ou recueillir, en parlant de quelque
COLONELLE	Épouse d’un colonel
COLONIALE	Armée française aux colonies
COMBURANT	a les caractéristiques d’un comburant
COMMUABLE	peut être commué
COMMUNALE	École communale
COMMUNION	Intérêts en commun
COMPAGNIE	Désigne l’Académie française
COMPAROIR	Comparaître en justice
COMPENSER	Rétablir un équilibre qui est perdu
COMPLAIRE	S’accommoder au sentiment, au goût de quelqu’un pour
COMPORTER	Être muni de, en parlant d’une chose
COMPOSANT	sert à composer
COMPOSITE	Abréviaiton de '
COMPRADOR	Intermédiaire chargé d’effectuer des transactions pour le compte
COMPROMIS	Embarrassé dans des démêlés, dans des affaires
CONCERTER	Exécuter des morceaux de musique lors d'un concert
CONCESSIF	marque une concession, une restriction, une opposition
CONCLUANT	conclut, qui prouve bien ce qu’on veut prouver
CONCLUSIF	aboutit à une conclusion
CONCORDER	Être en concordance
CONFUSION	Désordre d’un état ; trouble politique
CONGRUENT	s’applique bien, qui convient
CONJUGUER	Coïncider ; unir ; rassembler ; associer
CONNECTIF	sert à faire une connexion entre deux choses
CONNEMENT	D'une manière conne
CONSOLANT	console ; qui est propre à consoler
CONSTANTE	Élève étranger
CONSTIPER	Empêcher d’aller à la selle librement, par le
CONSTRUIT	Résultat d'une construction, par opposition à un phénomène
CONTENEUR	Récipient destiné à contenir quelque chose
CONTENTIF	a pour but de maintenir en place
CONTINENT	pratique la continence
CONTINUEL	ne cesse pas ou cesse rarement
CONTRACTE	Où il y a contraction
CONTRAINT	est gêné, forcé
CONTUMACE	Accusé qui s’est soustrait à la justice
CONTUSION	Lésion produite par un corps contondant
CONVENANT	convient ; qui est convenable
CONVERSER	Exécuter une conversion
CONVOYAGE	Opération par laquelle on transporte une marchandise
CONVULSIF	Agité, violent
COPULATIF	sert à lier
COQUILLER	contient des coquilles fossiles
CORALLIEN	Formé, constitué de coraux
CORIANDRE	Diakènes (fruits) aromatiques séchés de cette plante
CORNEMENT	État des oreilles qui cornent
COROLAIRE	Conséquence naturelle
CORROMPRE	Séduire, débaucher
CORROSION	corroder ou de se corroder; résultat de cette
CORRUPTIF	a la propriété de corrompre
CORYBANTE	Prêtre de la déesse Cybèle
COTONNADE	Étoffe de coton
COTONNEUX	manque d’énergie ; mou
COUARDISE	Caractère de celui qui est couard
COURTISAN	relève de la courtisanerie
COUTUMIER	est habituel
COUVREUSE	Épouse d’un couvreur
COVARIANT	préserve la composition
COVELLINE	Minéral, synonyme de covellite
CRAPULEUX	a rapport à la crapule
CRINOLINE	Étoffe de crin dont on faisait des cols,
CROSSOVER	Métissage entre deux ou différents styles musicaux
CROUSILLE	Désigne une tirelire ou une cagnotte
CRUDIVORE	mange des aliments crus
CUIVRIQUE	contient du cuivre
CULINAIRE	a rapport à la cuisine
CULMINANT	atteint sa plus grande hauteur
CUMULABLE	peut être cumulé
CUMULATIF	cumule, qui fait double emploi
CURCUMINE	Matière colorante jaune du curcuma
CYCLOPIEN	Affecté de cyclopie
CYNOPHILE	aime les chiens
DALTONIEN	est atteint de daltonisme
DAMNATION	damner, de se damner
DANTESQUE	D’une très grande horreur
DECATHLON	Chaîne française de magasins de sport
DEMANDANT	sollicite, qui cherche à obtenir quelque chose
DENSEMENT	D’une manière dense
DENTITION	Poussée de dents
DESCELLER	Détacher ce qui est scellé en plâtre, en
DESSABLER	Dégarnir un terrain du sable dont il était
DESSAISIE	Formalité à l’aide de laquelle on opérait l’aliénation
DESSELLER	Décharger de la selle
DESSERRER	Relâcher ce qui est serré
DESSERVIR	Débarrasser une table des plats, assiettes, etc
DESSILLER	S’ouvrir à la réalité, accepter de la voir
DESTROYER	à l'anglaise :
DEVANCIER	Ancêtres ; aïeux
DIABLESSE	Démone, diable femelle
DIAGRAMME	Tracé géométrique sommaire de la forme essentielle ou
DIAMANTIN	a l’éclat ou la dureté du diamant
DICTATURE	Dignité, pouvoir du dictateur
DIDACTYLE	a deux doigts, deux orteils
DIELDRINE	Composé organochloré, de formule brute , à usage
DIGRESSIF	consiste dans une suite de digressions
DILAPIDER	Dépenser malhonnêtement le bien d’autrui
DILATABLE	est susceptible de dilatation
DILATOIRE	tend à prolonger
DILIGENTE	Variété de tulipe précoce
DIMINUTIF	marque une diminution de l’idée exprimée par le
DINATOIRE	remplace le diner
DIPEPTIDE	Molécule constituée de deux acides aminés liés par
DISCOBOLE	Athlète lanceur de disque ou de palet
DISCOMPTE	Système de commercialisation permettant d’offrir au client des
DISCORDER	Être discordant
DISLOQUER	Déplacer violemment une ou plusieurs parties d’un tout
DISPERSER	Répandre, jeter çà et là
DISPOSANT	favorise un effet, une pathologie
DISSIDENT	est en désaccord
DISSONANT	forme dissonance
DISSUADER	Détourner de l’exécution d’un dessein ou d’une résolution
DISTENDRE	Élargir ou allonger par la tension
DISTINGUO	énoncer une distinction dans une argumentation, ou résultat
DISTORDRE	Déformer en tordant
DIVERSION	détourner quelqu’un de ce qui le préoccupe, le
DIVISIBLE	peut être divisé
DIVULSION	arracher, de séparer avec violence
DOGARESSE	Épouse d’un doge
DOMINANCE	Qualité de ce qui domine en importance ou
DOMINANTE	Caractéristique prépondérante
DOUBLANTE	Élève (fille) qui recommence la même classe
